"district_id","province_id","district_name"
"3204","32",Kabupaten Bandung
"3217","32",Kabupaten Bandung Barat
"3216","32",Kabupaten Bekasi
"3201","32",Kabupaten Bogor
"3207","32",Kabupaten Ciamis
"3203","32",Kabupaten Cianjur
"3209","32",Kabupaten Cirebon
"3205","32",Kabupaten Garut
"3212","32",Kabupaten Indramayu
"3215","32",Kabupaten Karawang
"3208","32",Kabupaten Kuningan
"3210","32",Kabupaten Majalengka
"3218","32",Kabupaten Pangandaran
"3214","32",Kabupaten Purwakarta
"3213","32",Kabupaten Subang
"3202","32",Kabupaten Sukabumi
"3211","32",Kabupaten Sumedang
"3206","32",Kabupaten Tasikmalaya
"3273","32",Kota Bandung
"3279","32",Kota Banjar
"3275","32",Kota Bekasi
"3271","32",Kota Bogor
"3277","32",Kota Cimahi
"3274","32",Kota Cirebon
"3276","32",Kota Depok
"3272","32",Kota Sukabumi
"3278","32",Kota Tasikmalaya
